Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1494352005737928	836.97	610.31	3.99	969.40	715.80	3.93
1494352005754607	828.77	614.93	3.96	975.41	716.55	3.93
1494352005771251	824.93	614.33	3.94	965.73	698.29	3.88
1494352005787910	825.69	614.94	3.94	964.49	704.32	3.91
1494352005804619	828.13	617.32	3.96	963.70	702.38	3.93
1494352005821227	826.58	611.89	3.96	968.84	718.42	3.94
1494352005837894	829.97	614.51	3.98	971.09	717.21	3.93
1494352005854593	828.37	610.16	3.98	965.76	749.67	4.04
1494352005871216	823.22	603.00	3.96	969.49	716.37	3.94
1494352005887876	830.99	614.38	3.96	967.44	699.43	3.88
1494352005904582	828.70	616.70	3.96	960.74	727.64	3.99
1494352005921198	833.01	614.02	3.99	966.63	726.74	3.99
1494352005937860	833.25	612.19	3.97	976.38	700.09	3.90
1494352005954566	829.00	612.50	3.96	966.32	719.96	3.94
1494352005971182	831.26	608.01	3.96	968.80	706.09	3.90
1494352005987835	832.30	610.74	3.98	968.32	705.35	3.91
1494352006004496	827.62	612.00	3.97	961.92	734.56	4.00
1494352006021153	831.20	611.16	3.99	966.12	700.53	3.93
1494352006037807	828.60	606.61	3.95	968.25	721.20	3.94
1494352006054815	829.73	611.05	3.98	970.67	711.96	3.95
1494352006071486	830.01	611.33	3.97	971.62	710.31	3.95
1494352006088151	827.16	612.36	3.98	966.96	712.33	3.96
1494352006104824	829.67	610.60	3.99	970.58	719.68	3.93
1494352006121491	827.58	603.99	3.93	971.35	714.36	3.93
1494352006138158	829.42	599.65	3.94	970.91	721.08	3.93
1494352006154798	831.42	611.38	3.98	974.91	711.68	3.94
1494352006171485	830.57	615.72	3.96	965.15	711.71	3.91
1494352006188149	822.63	615.89	3.96	973.01	699.28	3.90
1494352006204809	832.84	603.03	3.98	965.17	715.01	3.98
1494352006221491	825.83	606.21	3.96	975.24	699.77	3.87
1494352006238160	830.83	611.84	3.99	972.40	700.33	3.90
1494352006254821	831.08	609.73	3.97	977.82	707.42	3.89
1494352006271494	828.90	610.07	3.99	961.98	746.14	4.03
1494352006288161	833.42	608.39	3.98	970.95	717.52	3.93
1494352006304821	836.31	612.24	3.98	973.32	723.87	3.97
1494352006321494	828.35	611.16	3.96	971.81	716.22	3.94
1494352006338160	830.87	615.41	3.96	964.50	735.32	3.99
1494352006354821	825.50	607.92	3.97	969.10	714.25	3.94
1494352006371495	830.50	603.69	3.95	958.99	729.59	3.95
1494352006388157	831.17	610.28	3.97	968.91	716.18	3.95
1494352006404827	831.98	610.29	3.96	963.77	721.54	3.97
1494352006421483	832.11	609.19	3.98	971.59	731.00	3.97
1494352006438155	828.00	612.49	3.95	970.88	714.60	3.94
1494352006454815	828.15	612.06	3.97	969.25	720.68	3.94
1494352006471486	831.11	619.01	3.99	969.78	716.03	3.93
1494352006488150	830.72	608.80	3.96	971.24	719.74	3.93
1494352006504822	832.97	616.81	3.96	968.96	718.82	3.94
1494352006521489	834.13	616.12	3.98	965.69	733.54	3.98
1494352006538154	835.53	609.94	3.95	975.95	717.47	3.92
1494352006554800	825.12	613.15	3.95	961.39	714.88	3.93
1494352006571328	824.84	614.80	3.97	960.94	712.57	3.93
1494352006588016	829.39	621.70	3.96	952.86	731.83	3.95
1494352006604680	828.97	618.01	3.95	953.53	713.44	3.94
1494352006621336	827.70	617.78	3.95	954.38	727.83	4.00
1494352006638004	831.74	613.48	3.97	966.23	728.22	3.98
1494352006654659	825.87	615.09	3.97	971.27	726.78	4.00
1494352006671328	825.15	605.42	3.99	962.99	742.78	4.02
1494352006687989	826.86	601.99	3.98	964.80	729.84	3.96
1494352006704646	831.48	602.26	3.98	971.86	719.77	3.93
1494352006721307	824.59	609.03	3.96	974.63	710.06	3.93
1494352006737974	827.48	616.00	3.96	972.81	732.58	3.98
1494352006754609	827.58	602.84	3.97	970.02	721.29	3.98
1494352006771300	830.04	614.65	3.97	965.68	721.68	3.99
1494352006787955	825.30	606.60	3.96	968.63	735.09	4.01
1494352006804617	831.03	609.03	3.96	968.53	714.47	3.94
1494352006821278	834.49	614.28	3.99	965.51	723.59	3.95
1494352006837946	830.20	611.84	3.97	967.20	712.01	3.97
1494352006854610	834.12	609.99	3.98	969.11	722.38	3.93
1494352006871265	832.60	617.39	4.00	974.18	703.78	3.85
1494352006887934	829.03	603.87	3.98	970.09	718.52	3.89
1494352006904590	827.65	607.48	3.96	967.66	721.66	3.94
1494352006921259	823.32	606.98	3.94	960.48	748.78	3.98
1494352006937921	825.52	605.13	3.96	961.23	720.23	3.95
1494352006954554	829.81	611.46	3.96	957.27	737.25	4.00
1494352006971244	827.66	617.38	3.96	958.14	730.84	3.99
1494352006987907	828.08	615.32	3.97	956.92	724.12	3.96
1494352007004568	834.50	623.81	4.01	977.54	718.48	3.94
1494352007021220	834.54	606.79	3.97	979.87	701.83	3.89
1494352007037888	825.72	615.73	3.98	967.55	737.64	3.97
1494352007054535	826.69	600.74	3.95	961.38	730.10	4.00
1494352007071449	826.82	608.85	3.97	961.32	750.25	4.04
1494352007088035	833.28	609.49	3.96	973.47	736.56	3.96
1494352007104702	826.11	609.01	4.00	969.20	721.07	3.95
1494352007121374	831.24	609.67	3.98	969.34	720.22	3.94
1494352007138041	832.47	610.60	3.95	970.20	731.96	3.97
1494352007154701	838.84	615.34	3.97	983.60	693.50	3.83
1494352007171363	840.92	607.37	3.96	973.89	731.57	3.98
1494352007188032	826.49	615.04	3.97	954.35	726.47	3.96
1494352007204703	827.70	617.52	3.96	957.97	731.95	3.98
1494352007221366	824.32	605.12	3.96	959.37	742.09	3.95
1494352007238045	829.03	605.98	3.98	976.44	707.87	3.86
1494352007254689	832.37	606.54	3.97	974.85	704.67	3.90
1494352007271364	833.90	604.47	3.97	978.58	703.67	3.87
1494352007288040	832.88	611.06	3.98	978.88	704.79	3.89
1494352007304697	833.89	616.55	3.95	977.97	708.50	3.89
1494352007321368	828.44	608.53	3.97	974.47	706.73	3.90
1494352007338037	830.88	607.90	3.97	972.49	707.92	3.87
1494352007354674	830.29	603.32	3.95	977.88	707.63	3.89
1494352007371370	831.71	600.22	3.96	973.58	708.39	3.85
1494352007388005	NaN	NaN	NaN	976.61	704.48	3.90
1494352007404688	837.03	608.12	3.98	981.73	699.14	3.86
1494352007421352	829.84	604.61	3.96	977.54	706.08	3.92
1494352007438042	826.17	605.69	3.96	977.72	704.45	3.88
1494352007454699	831.48	607.88	3.99	973.89	703.87	3.91
1494352007471357	826.89	612.84	3.96	970.05	699.97	3.89
1494352007488084	827.22	604.14	3.97	958.34	709.84	3.89
1494352007504700	831.98	604.10	3.95	959.62	702.61	3.90
1494352007521357	838.80	608.61	3.95	972.36	700.76	3.89
1494352007538076	835.81	612.27	3.99	975.33	710.80	3.90
1494352007554691	826.94	606.94	3.96	970.89	706.72	3.89
1494352007571359	830.30	600.96	3.97	970.70	701.32	3.88
1494352007588068	829.35	608.43	3.97	976.32	703.90	3.87
1494352007604698	832.53	615.10	3.91	971.24	712.50	3.92
1494352007621362	830.46	600.43	3.95	978.89	709.49	3.89
1494352007638038	829.14	608.23	3.97	978.44	704.02	3.89
1494352007654707	830.77	622.05	3.90	980.21	702.73	3.89
1494352007671368	831.30	601.91	3.86	972.08	708.51	3.90
1494352007688046	832.84	612.57	3.92	980.34	702.19	3.88
1494352007704717	834.21	607.02	3.97	977.45	703.20	3.90
1494352007721387	NaN	NaN	NaN	975.13	708.85	3.89
1494352007738049	837.31	615.72	3.95	963.38	707.57	3.90
1494352007754725	829.37	610.36	3.97	958.48	709.61	3.89
1494352007771395	828.15	608.06	3.94	958.62	706.25	3.90
1494352007788050	827.14	614.56	3.94	966.13	699.31	3.88
1494352007804723	828.30	608.34	3.94	963.04	706.01	3.89
1494352007821398	827.68	615.64	3.94	967.41	702.37	3.89
1494352007838068	827.96	616.45	3.96	962.45	700.94	3.89
1494352007854744	834.69	615.22	3.97	973.03	703.58	3.87
1494352007871398	830.56	614.20	3.97	972.28	706.72	3.85
1494352007888077	828.53	610.73	3.94	964.91	699.60	3.89
1494352007904747	825.66	615.61	3.95	963.08	704.88	3.88
1494352007921422	828.03	616.08	3.95	959.61	705.56	3.90
1494352007938087	821.33	614.77	3.93	959.39	703.27	3.88
1494352007954747	825.64	614.86	3.97	960.70	701.99	3.88
1494352007971431	833.62	621.77	3.90	962.56	699.05	3.88
1494352007988096	836.73	610.24	3.90	974.65	701.98	3.89
1494352008004758	832.62	616.40	3.90	973.08	710.60	3.89
1494352008021439	831.52	609.41	3.96	973.10	704.38	3.88
1494352008038108	833.19	608.02	3.96	974.45	707.57	3.89
1494352008054766	823.77	609.21	3.93	975.74	695.56	3.91
1494352008071450	830.15	610.44	3.92	974.54	696.85	3.89
1494352008087957	827.55	605.25	3.96	968.18	724.21	3.94
1494352008104642	830.89	619.54	3.91	974.26	722.83	3.94
1494352008121314	830.76	618.39	3.95	976.96	729.56	3.96
1494352008137980	830.25	610.59	3.99	965.31	723.68	3.95
1494352008154616	831.48	604.41	3.94	971.13	723.35	3.94
1494352008171308	826.30	605.12	3.96	970.36	721.46	3.94
1494352008187967	828.80	599.03	3.93	967.85	729.23	3.97
1494352008204636	827.52	611.10	3.96	972.10	713.50	3.92
1494352008221298	827.41	606.03	3.98	971.61	699.11	3.89
1494352008237961	824.23	615.50	3.97	974.19	698.20	3.90
1494352008254633	821.55	602.20	3.89	965.62	693.81	3.90
1494352008271291	827.98	613.06	3.96	966.56	704.08	3.90
1494352008287945	829.89	610.17	3.95	974.26	698.07	3.88
1494352008304616	832.11	613.92	3.98	966.58	699.21	3.93
1494352008321280	830.18	606.61	3.96	976.18	701.45	3.87
