Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1494352011421334	825.73	602.14	3.95	961.05	711.44	3.89
1494352011438030	833.90	610.44	3.96	975.93	703.07	3.89
1494352011454686	827.73	608.49	3.95	975.43	706.30	3.88
1494352011471356	828.36	612.68	3.96	953.06	741.83	4.01
1494352011488029	825.75	604.63	3.96	954.61	720.54	3.95
1494352011504698	829.52	620.16	3.95	969.15	710.97	3.88
1494352011521360	829.31	608.54	3.96	978.36	711.36	3.89
1494352011538026	827.81	607.97	3.95	955.72	732.84	3.97
1494352011554672	823.13	604.02	3.94	952.81	739.07	4.02
1494352011571358	824.73	617.59	3.96	957.46	708.03	3.89
1494352011588029	829.85	611.46	3.95	972.15	706.51	3.86
1494352011604697	826.75	599.01	3.95	965.90	727.17	3.97
1494352011621244	831.22	609.64	3.96	952.22	731.02	3.96
1494352011637908	826.71	616.19	3.96	957.98	719.20	3.93
1494352011654568	827.21	622.15	3.96	956.82	742.90	3.99
1494352011671226	829.23	600.56	3.96	958.49	736.34	3.99
1494352011687903	826.34	618.73	3.96	956.78	713.39	3.90
1494352011704563	830.97	610.83	3.98	974.34	705.43	3.89
1494352011721222	820.36	620.41	3.94	967.08	708.33	3.91
1494352011737890	827.00	612.87	3.95	965.89	726.88	3.95
1494352011754547	833.02	609.19	3.97	977.34	705.15	3.91
1494352011771200	826.73	614.91	3.94	959.65	707.83	3.89
1494352011787880	826.46	621.75	3.95	953.30	732.44	3.99
1494352011804542	829.43	614.38	3.95	961.52	708.93	3.86
1494352011821191	830.46	613.41	3.95	960.66	708.23	3.87
1494352011837866	829.48	609.73	3.96	969.21	718.55	3.92
1494352011854521	824.12	615.72	3.96	957.54	734.43	4.02
1494352011871184	825.51	615.94	3.93	968.52	709.60	3.88
1494352011887854	826.88	612.94	3.92	959.72	723.74	3.94
1494352011904501	826.50	616.44	3.95	972.58	726.64	3.94
1494352011921179	833.95	610.41	3.94	971.36	698.32	3.90
1494352011937842	834.99	612.45	3.98	969.24	729.96	3.97
1494352011954498	834.41	595.12	3.95	970.02	709.93	3.89
1494352011971160	825.87	607.56	3.95	968.82	736.03	4.01
1494352011987813	821.69	615.80	3.96	957.44	730.58	3.98
1494352012004490	831.11	613.61	3.94	968.40	728.26	3.96
1494352012021139	826.38	610.35	3.97	969.07	704.83	3.88
1494352012037814	830.40	606.97	3.97	967.54	717.46	3.92
1494352012054470	829.23	609.14	3.95	963.83	742.43	4.00
1494352012071144	832.08	607.82	3.98	953.34	734.22	3.96
1494352012087805	831.29	607.70	3.96	970.34	723.77	3.95
1494352012104451	832.75	615.99	3.96	971.71	737.65	3.97
1494352012121123	828.37	613.13	3.98	965.92	752.09	4.00
1494352012138042	NaN	NaN	NaN	969.02	731.46	3.97
1494352012154684	829.93	605.50	3.94	972.45	714.68	3.90
1494352012171358	830.52	604.40	3.98	967.01	732.49	3.97
1494352012188014	831.09	611.42	3.97	968.39	723.38	3.92
1494352012204685	823.48	611.10	3.94	968.07	739.08	3.96
1494352012221353	831.79	606.03	3.97	972.20	724.05	3.95
1494352012238030	827.00	609.00	3.96	976.22	721.01	3.91
1494352012254684	830.97	618.66	3.99	968.94	729.70	3.97
1494352012271356	830.05	610.44	3.95	969.45	731.64	3.94
1494352012288034	828.61	605.28	3.96	974.10	702.94	3.91
1494352012304697	831.28	610.89	3.95	968.81	733.28	3.99
1494352012321367	836.08	609.75	3.97	972.39	712.74	3.92
1494352012338041	824.85	616.06	3.96	957.85	719.28	3.91
1494352012354673	828.24	609.39	3.98	971.96	720.44	3.93
1494352012371362	829.04	608.97	3.97	974.83	704.53	3.83
1494352012388044	827.51	614.00	3.97	961.66	710.20	3.91
1494352012404703	824.07	613.65	3.97	958.18	704.47	3.90
1494352012421364	831.25	606.68	3.96	973.63	710.77	3.91
1494352012438081	825.27	614.90	3.97	965.31	721.08	3.93
1494352012454697	827.27	601.76	3.96	957.41	733.85	3.94
1494352012471342	832.24	608.43	3.97	959.42	715.79	3.95
1494352012488077	829.57	605.10	3.97	970.83	731.48	3.98
1494352012504710	827.86	613.34	3.96	979.24	705.10	3.87
1494352012521377	823.31	600.05	3.92	968.84	697.52	3.88
1494352012538085	827.08	613.87	3.95	968.83	708.39	3.87
1494352012554697	830.58	610.86	3.97	967.40	704.59	3.91
1494352012571379	833.65	615.01	3.97	974.39	713.57	3.91
1494352012588088	822.98	611.48	3.97	960.68	733.10	3.95
1494352012604709	833.21	595.80	3.95	961.04	728.51	3.98
1494352012621371	831.78	608.52	3.97	967.01	719.88	3.96
1494352012637983	829.56	614.68	3.92	968.21	710.48	3.87
1494352012654616	826.72	603.04	3.96	957.86	711.23	3.89
1494352012671314	829.84	609.18	3.95	967.37	710.61	3.89
1494352012687988	831.91	607.32	3.99	971.96	743.63	3.99
1494352012704657	831.63	618.30	3.95	960.25	722.88	3.95
1494352012721325	833.97	606.83	3.98	972.74	717.90	3.94
1494352012737987	828.70	611.58	3.98	974.27	706.12	3.89
1494352012754632	831.41	605.14	3.98	966.94	728.96	3.97
1494352012771330	824.14	610.07	3.97	974.68	716.00	3.88
1494352012787993	830.64	615.82	3.98	969.32	725.64	4.00
1494352012804667	830.56	602.76	3.97	964.87	726.56	3.97
1494352012821324	828.61	604.48	3.96	966.20	710.80	3.90
1494352012837996	834.01	610.04	3.95	962.25	736.71	3.95
1494352012854671	831.15	604.48	4.01	968.28	728.45	3.91
1494352012871334	830.62	612.98	3.98	975.14	722.79	3.95
1494352012888006	NaN	NaN	NaN	970.64	706.15	3.92
1494352012904670	831.69	603.52	3.93	973.60	721.16	3.94
1494352012921345	833.37	609.44	3.98	971.82	719.17	3.94
1494352012938007	831.83	611.87	4.00	976.02	704.27	3.89
1494352012954652	830.61	596.67	3.98	974.33	720.19	3.95
1494352012971349	828.69	614.73	3.99	973.77	711.01	3.87
1494352012988018	821.52	601.15	3.96	965.72	702.61	3.86
1494352013004679	831.48	608.76	3.95	975.08	716.12	3.94
1494352013021337	830.59	608.69	4.00	972.05	716.59	3.95
1494352013038018	835.30	615.08	3.95	974.43	726.95	3.97
1494352013054687	830.44	615.02	3.99	976.20	712.65	3.91
1494352013071363	824.81	613.27	3.97	968.73	719.46	3.95
1494352013088021	823.75	620.57	3.96	966.99	709.84	3.91
1494352013104687	827.38	608.79	3.93	971.92	703.72	3.86
1494352013121364	828.76	605.07	3.97	975.55	695.60	3.88
1494352013138035	829.57	608.30	3.98	968.97	744.94	4.02
1494352013154666	833.53	607.71	3.97	978.65	704.78	3.88
1494352013171377	831.61	609.93	3.95	975.00	705.96	3.91
1494352013188038	831.27	609.44	3.94	975.95	742.40	3.98
1494352013204715	830.98	600.46	3.98	974.91	724.84	3.96
1494352013221371	831.76	608.64	3.96	972.37	711.53	3.93
1494352013238053	826.40	613.41	3.99	966.81	723.93	3.89
1494352013254722	831.00	606.76	3.97	967.64	715.53	3.90
1494352013271384	829.70	622.28	4.00	975.08	705.72	3.89
1494352013288061	827.35	605.93	3.94	974.87	730.98	3.96
1494352013304729	828.94	602.85	3.97	974.76	713.01	3.92
1494352013321398	834.97	609.64	3.98	973.04	716.63	3.93
1494352013338061	829.23	602.55	3.96	972.04	721.21	3.92
1494352013354738	829.41	605.62	3.95	963.47	744.24	4.01
1494352013371407	834.39	605.08	3.97	975.67	708.14	3.90
1494352013388071	831.60	610.61	3.97	972.68	709.06	3.90
1494352013404740	834.18	605.99	3.97	972.16	739.00	3.98
1494352013421404	832.55	602.69	3.97	968.35	719.19	3.97
1494352013438078	824.43	610.51	3.95	975.01	711.71	3.87
1494352013454754	828.46	607.04	3.97	973.79	704.10	3.89
1494352013471409	828.16	609.78	3.96	976.88	702.37	3.88
1494352013488090	828.50	606.84	3.97	971.09	707.88	3.87
1494352013504761	832.56	611.87	3.97	968.05	708.82	3.88
1494352013521426	827.98	612.27	3.95	956.95	737.15	3.96
1494352013538094	824.90	601.39	3.97	973.78	720.58	3.92
1494352013554763	826.16	606.55	3.98	972.12	709.97	3.93
1494352013571439	830.50	609.19	3.98	971.15	717.76	3.93
1494352013588108	832.83	612.28	3.97	976.23	717.29	3.93
1494352013604772	829.11	608.77	3.97	974.60	727.91	3.91
1494352013621437	831.94	606.07	3.96	974.06	740.03	3.96
1494352013638106	834.35	608.97	3.98	969.27	733.83	3.97
1494352013654630	827.23	601.22	3.97	961.22	734.17	3.99
1494352013671292	827.16	603.48	3.97	967.93	702.26	3.90
1494352013687961	828.22	609.63	3.95	955.81	718.25	3.95
1494352013704635	823.17	615.06	3.96	963.57	727.26	3.95
1494352013721302	829.99	603.89	3.93	975.42	701.55	3.88
1494352013737967	835.05	601.98	3.99	975.17	702.01	3.88
1494352013754625	828.26	595.68	3.97	971.22	706.33	3.88
1494352013771299	828.47	609.82	3.96	972.86	705.98	3.88
1494352013787961	827.84	613.30	3.97	970.55	712.56	3.88
1494352013804633	827.66	613.09	3.97	978.68	705.99	3.86
1494352013821287	829.40	603.31	3.96	976.22	710.11	3.89
1494352013837960	831.68	610.06	3.97	971.65	727.21	3.96
1494352013854632	834.38	608.72	3.98	975.02	705.76	3.90
1494352013871292	829.41	609.18	3.96	974.85	707.51	3.91
1494352013887958	832.43	618.58	3.95	976.67	704.73	3.87
1494352013904632	825.18	613.80	3.95	972.13	709.27	3.89
1494352013921297	826.93	608.62	3.95	969.19	710.87	3.87
1494352013937965	825.15	611.75	3.93	959.97	728.08	3.93
1494352013954630	826.58	609.15	3.94	976.38	706.49	3.88
1494352013971303	829.29	603.02	3.97	973.80	718.78	3.93
1494352013987963	827.96	609.43	3.95	973.43	713.63	3.92
1494352014004630	828.20	607.20	3.96	975.59	716.10	3.91
1494352014021309	832.59	611.63	3.98	975.11	705.60	3.90
1494352014037953	832.22	604.50	3.96	970.74	731.74	3.95
1494352014054626	824.43	603.76	3.99	971.24	726.99	3.96
1494352014071310	831.53	611.40	3.98	967.90	734.30	3.98
1494352014087951	828.25	620.35	3.99	964.79	742.65	3.99
1494352014104612	826.81	617.98	3.97	967.46	727.09	3.94
1494352014121333	828.05	611.35	3.94	964.14	713.97	3.90
1494352014137951	828.86	619.01	3.95	961.52	710.02	3.89
1494352014154696	830.07	603.53	3.96	973.62	713.20	3.91
1494352014171335	829.28	603.94	3.97	971.80	714.21	3.91
1494352014188031	833.32	602.44	3.98	976.60	702.97	3.88
1494352014204699	833.98	608.73	3.97	975.20	705.66	3.89
1494352014221334	827.05	603.32	3.97	976.87	716.17	3.86
1494352014238029	828.93	610.53	3.96	976.58	716.48	3.88
1494352014254698	829.21	612.25	3.95	976.00	702.81	3.90
1494352014271357	825.95	608.55	4.00	964.41	716.62	3.94
1494352014288031	831.36	607.90	3.98	974.98	702.34	3.87
1494352014304702	832.64	607.14	3.95	979.63	711.57	3.88
1494352014321371	826.04	607.14	3.95	974.11	713.63	3.88
1494352014338039	829.63	607.89	3.94	966.40	709.78	3.87
1494352014354714	829.84	612.30	3.96	975.01	706.40	3.87
1494352014371382	827.80	599.98	3.95	965.09	725.27	3.92
1494352014388050	834.41	611.76	3.97	969.43	706.38	3.87
1494352014404707	831.31	613.51	3.96	976.22	703.36	3.86
1494352014421356	830.40	607.92	3.94	975.69	727.86	3.93
1494352014438054	831.34	609.84	3.97	973.21	704.43	3.87
1494352014454716	829.68	614.67	3.98	972.50	736.28	3.97
1494352014471361	832.48	602.97	3.99	967.13	723.52	3.98
1494352014488055	829.82	602.45	3.98	974.46	727.14	3.94
1494352014504718	825.28	613.37	3.97	972.19	736.95	3.97
1494352014521395	825.43	615.06	3.98	972.06	708.87	3.90
1494352014538064	826.55	606.89	3.93	976.14	709.29	3.88
1494352014554725	826.93	607.38	3.94	969.64	720.70	3.93
1494352014571390	828.97	611.77	3.95	969.78	716.03	3.92
1494352014588067	829.11	607.14	3.95	967.74	717.77	3.95
1494352014604737	821.97	613.56	3.93	974.44	713.59	3.91
1494352014621371	825.75	614.01	3.94	969.54	723.26	3.92
1494352014638073	828.79	611.15	3.98	974.97	710.08	3.86
1494352014654599	834.00	615.25	3.97	977.24	714.18	3.89
1494352014671255	829.35	615.31	3.95	976.10	723.18	3.95
1494352014687924	827.76	611.86	3.98	971.60	732.74	3.97
1494352014704589	822.60	617.25	3.97	969.59	726.13	3.92
1494352014721245	828.90	615.18	3.98	969.44	701.11	3.89
1494352014737915	827.75	609.44	3.94	970.37	708.88	3.90
1494352014754578	834.55	615.78	3.97	973.65	710.03	3.86
1494352014771242	828.25	605.72	3.96	974.19	714.83	3.92
1494352014787899	830.49	607.75	3.96	967.38	716.34	3.88
1494352014804569	829.36	612.78	3.95	974.53	704.09	3.90
1494352014821197	827.71	619.61	3.98	975.03	705.67	3.87
1494352014837896	828.67	609.16	3.99	975.41	707.20	3.87
1494352014854559	832.06	608.40	3.98	978.79	704.75	3.88
1494352014871215	828.83	614.75	3.97	976.07	706.52	3.86
1494352014887876	834.68	614.90	3.97	978.04	710.83	3.88
1494352014904545	831.13	611.33	3.98	970.09	734.21	3.97
1494352014921208	827.45	613.94	3.97	973.11	731.88	3.94
1494352014937877	831.28	600.76	3.96	972.02	707.59	3.86
1494352014954541	830.14	612.92	3.95	972.33	704.05	3.86
1494352014971204	828.54	613.13	3.95	968.02	710.53	3.88
1494352014987864	829.93	607.22	3.94	967.00	716.29	3.91
1494352015004530	829.80	604.05	3.93	974.79	714.04	3.92
1494352015021158	832.73	612.98	3.96	968.92	724.77	3.95
1494352015037854	828.37	613.41	3.96	972.33	717.24	3.89
1494352015054517	831.23	602.40	3.95	976.45	701.49	3.87
1494352015071159	828.21	611.73	3.98	974.34	724.34	3.92
1494352015087841	827.66	615.62	3.96	974.30	695.61	3.86
1494352015104512	829.56	612.00	3.96	968.60	726.32	3.99
1494352015121168	830.60	610.81	3.96	980.72	708.12	3.87
1494352015137832	831.48	612.05	3.97	972.08	711.42	3.88
1494352015154503	830.40	611.01	3.98	974.96	706.04	3.86
1494352015171209	834.21	605.40	3.93	975.50	709.58	3.86
1494352015187875	827.64	616.41	3.95	972.74	714.38	3.92
1494352015204547	825.81	614.27	3.92	979.41	702.89	3.85
1494352015221177	830.04	613.34	3.98	969.15	728.28	3.93
1494352015237877	830.56	610.40	3.96	970.67	715.55	3.93
1494352015254543	827.07	610.44	3.98	972.44	706.08	3.87
1494352015271199	830.67	614.38	3.97	975.75	709.78	3.88
1494352015287872	NaN	NaN	NaN	978.50	715.93	3.89
1494352015304540	830.71	609.06	3.96	973.73	707.20	3.87
1494352015321203	835.03	611.90	3.98	977.12	708.46	3.86
1494352015337866	827.99	609.16	3.96	972.53	708.31	3.88
1494352015354526	826.00	614.22	3.95	975.26	710.48	3.87
1494352015371197	829.77	616.48	3.96	967.49	727.13	3.94
1494352015387862	830.93	610.56	3.96	972.12	705.51	3.86
1494352015404527	828.58	604.38	3.93	970.76	707.64	3.86
1494352015421155	834.54	607.81	3.96	971.82	707.29	3.89
1494352015437857	830.89	605.91	3.95	970.56	707.03	3.88
1494352015454521	830.09	601.98	3.97	979.44	703.18	3.86
1494352015471177	826.63	610.63	3.95	974.97	709.94	3.88
1494352015487842	826.29	615.27	3.96	974.67	711.31	3.87
1494352015504519	829.14	613.54	3.96	977.88	706.85	3.89
1494352015521182	827.28	619.46	3.99	977.61	722.60	3.96
1494352015537847	827.12	608.96	3.96	975.22	710.83	3.90
1494352015554516	826.46	608.92	3.94	977.03	712.75	3.87
1494352015571176	831.81	626.57	3.94	974.30	712.52	3.89
1494352015587842	829.41	613.43	3.97	979.41	701.42	3.88
1494352015604509	831.50	603.22	3.95	972.21	707.02	3.88
1494352015621126	828.49	604.17	3.94	971.82	700.74	3.83
1494352015637830	831.60	614.78	3.95	967.54	715.32	3.90
1494352015654510	828.05	615.09	3.96	974.03	711.58	3.87
1494352015671262	828.05	615.91	3.96	969.02	715.53	3.89
1494352015687959	821.63	618.30	3.96	977.80	712.51	3.87
1494352015704641	832.60	602.52	3.94	973.13	704.52	3.87
1494352015721294	826.01	613.40	3.97	972.96	709.31	3.90
1494352015737967	831.09	611.81	3.94	969.50	737.71	3.97
1494352015754676	826.98	613.73	3.95	975.40	709.55	3.89
1494352015771295	828.85	609.24	3.97	977.06	703.81	3.85
1494352015787968	833.69	608.93	3.97	968.42	708.48	3.87
1494352015804683	832.42	615.33	3.99	971.67	709.15	3.88
1494352015821288	829.68	609.47	3.97	968.31	707.40	3.89
1494352015837970	831.58	607.05	3.95	965.50	733.56	3.98
1494352015854675	833.42	616.79	3.94	971.69	725.86	3.94
1494352015871305	830.92	608.38	3.98	972.52	708.50	3.87
1494352015887971	829.29	604.84	3.96	973.64	713.89	3.86
1494352015904681	833.94	614.86	3.98	976.81	721.03	3.89
1494352015921303	828.92	607.01	3.98	970.59	738.79	3.98
1494352015937972	829.31	613.85	3.96	972.85	730.21	3.91
1494352015954610	826.08	608.99	4.00	978.81	709.66	3.88
1494352015971306	825.75	615.46	3.95	971.22	742.61	4.00
1494352015987966	834.23	608.27	3.98	972.72	735.87	3.98
1494352016004633	826.14	604.67	3.96	971.25	714.42	3.91
1494352016021312	829.97	607.67	3.99	976.86	703.07	3.89
1494352016037971	829.47	611.69	3.94	976.18	702.18	3.88
1494352016054638	829.55	617.77	3.96	970.43	725.98	3.93
1494352016071314	827.14	606.20	3.97	975.86	707.57	3.88
1494352016087975	827.73	607.86	3.93	975.05	719.50	3.92
1494352016104637	827.35	605.01	3.95	973.43	705.82	3.86
1494352016121303	827.49	619.65	3.98	969.86	727.43	3.94
1494352016137977	825.15	614.35	3.97	963.69	723.68	3.95
1494352016154615	827.96	609.02	3.97	973.87	704.78	3.85
1494352016171311	824.59	608.86	3.97	976.69	704.96	3.87
1494352016187857	830.35	609.14	3.94	961.69	746.88	4.01
1494352016204519	824.71	614.88	3.94	963.33	746.61	4.01
1494352016221204	829.19	607.64	3.94	967.57	719.71	3.92
1494352016237841	828.72	612.29	3.96	969.88	724.94	3.97
1494352016254506	830.82	607.96	3.95	973.83	710.75	3.89
1494352016271170	829.29	608.99	3.96	965.05	708.64	3.88
1494352016287831	827.30	615.46	3.96	970.30	707.52	3.89
1494352016304494	831.17	616.72	3.96	975.11	708.31	3.88
1494352016321158	829.30	606.11	3.98	973.71	708.02	3.87
1494352016337820	826.72	618.62	3.96	980.15	707.17	3.87
1494352016354469	829.49	608.26	3.95	972.24	724.21	3.96
1494352016371143	828.89	613.65	3.98	972.59	708.64	3.87
1494352016387796	827.29	610.57	3.97	967.56	705.87	3.89
1494352016404463	829.17	605.82	3.96	968.65	717.28	3.92
1494352016421157	827.49	605.40	3.93	977.34	705.42	3.86
1494352016437795	831.29	613.43	3.97	969.51	716.42	3.91
1494352016454459	832.69	620.30	3.96	973.07	708.62	3.88
1494352016471117	834.71	611.93	3.98	962.01	720.19	3.92
1494352016487777	833.00	607.51	3.96	964.76	709.98	3.90
1494352016504430	828.61	606.58	3.94	978.49	706.62	3.87
1494352016521108	828.78	607.15	3.96	979.94	702.72	3.86
1494352016537764	828.25	613.71	3.95	973.41	708.75	3.89
1494352016554433	830.27	603.76	3.96	968.45	742.66	3.96
1494352016571088	830.97	611.74	3.98	970.16	707.79	3.88
1494352016587750	826.46	617.74	3.96	976.37	707.71	3.87
1494352016604420	835.62	608.01	3.97	973.27	709.21	3.87
1494352016621135	828.56	609.80	3.96	973.40	712.19	3.88
1494352016637744	823.97	605.19	3.94	973.91	708.83	3.89
1494352016654409	827.73	605.96	3.96	978.03	708.92	3.86
1494352016671063	832.59	609.89	3.97	964.91	719.74	3.92
1494352016687939	830.24	612.21	3.95	969.97	705.15	3.87
1494352016704539	826.06	603.66	3.95	968.48	713.16	3.90
1494352016721210	831.32	607.24	3.96	976.94	711.32	3.86
1494352016737878	827.78	610.79	3.95	973.08	730.19	3.94
1494352016754537	829.13	606.94	3.96	974.80	709.05	3.89
1494352016771209	827.59	621.13	3.97	977.92	708.27	3.87
1494352016787874	824.89	616.69	3.97	972.99	707.81	3.89
1494352016804534	829.12	614.63	3.95	973.69	702.95	3.86
1494352016821307	823.36	610.07	3.93	968.56	704.65	3.91
1494352016837866	828.89	607.14	3.93	969.36	741.07	4.02
1494352016854539	833.59	615.50	3.98	976.23	715.89	3.93
1494352016871206	827.90	619.46	3.95	965.05	718.61	3.91
1494352016887870	828.22	606.59	3.95	975.51	696.41	3.89
1494352016904538	829.20	611.27	3.96	974.34	708.62	3.88
1494352016921205	831.74	609.41	3.97	969.73	707.24	3.88
1494352016937872	827.71	608.63	3.96	976.96	705.66	3.87
1494352016954531	830.84	612.41	3.95	973.13	717.09	3.93
1494352016971191	828.09	617.94	3.97	967.38	724.02	3.97
1494352016987869	830.26	610.43	3.98	969.20	744.12	3.98
1494352017004535	826.38	604.99	3.95	975.49	733.77	3.95
1494352017021242	827.35	612.11	3.95	966.14	739.17	3.96
1494352017037863	828.00	599.19	3.96	969.44	727.09	3.92
1494352017054531	832.31	608.68	3.96	961.65	746.10	3.99
1494352017071205	825.47	610.12	3.93	962.71	736.77	3.96
1494352017087863	830.63	611.74	3.96	959.11	739.59	3.98
1494352017104525	830.37	614.93	3.97	966.57	724.72	3.93
1494352017121191	826.47	617.90	3.94	968.12	737.05	3.98
1494352017137865	822.19	612.04	3.96	972.49	729.31	3.96
1494352017154532	831.40	614.15	3.94	972.33	732.08	3.97
1494352017171198	829.39	613.90	3.95	973.53	740.49	3.98
1494352017187983	827.74	607.34	3.98	972.30	739.49	3.98
1494352017204602	826.77	607.00	3.91	973.08	740.48	3.99
1494352017221374	833.35	605.44	3.97	972.64	722.92	3.93
1494352017237973	828.89	605.48	3.95	974.20	710.67	3.88
1494352017254635	829.02	606.54	3.96	970.08	705.52	3.88
1494352017271299	831.44	607.06	3.94	973.29	699.66	3.87
1494352017287970	828.44	608.13	3.94	970.44	734.73	3.96
1494352017304629	827.38	606.65	3.94	979.76	719.29	3.90
1494352017321293	829.39	617.21	3.97	975.54	704.55	3.86
1494352017337963	831.25	603.31	3.97	975.56	734.89	3.98
1494352017354615	827.62	608.23	3.94	971.48	709.38	3.88
1494352017371279	829.13	608.60	3.97	970.36	757.75	3.97
1494352017387951	834.13	615.31	3.97	973.03	730.91	3.96
1494352017404607	829.25	613.97	3.97	973.66	735.24	3.95
1494352017421258	823.89	609.49	3.97	972.87	736.41	3.95
1494352017437986	828.96	608.05	3.93	972.65	715.60	3.93
1494352017454609	831.46	609.28	3.98	964.80	726.87	3.95
1494352017471269	827.39	613.60	3.94	977.11	701.60	3.87
1494352017487966	830.69	612.96	3.96	979.25	701.27	3.86
1494352017504589	832.26	610.31	3.96	970.92	709.10	3.92
1494352017521265	831.91	606.95	3.98	978.50	702.53	3.84
1494352017537956	826.24	611.41	3.94	964.59	735.03	3.97
1494352017554594	832.50	611.97	3.97	970.67	726.23	3.95
1494352017571258	828.88	610.59	3.94	972.16	734.48	3.95
1494352017587971	831.15	613.19	3.97	972.58	729.58	3.95
1494352017604581	831.11	610.23	3.96	971.73	740.72	3.96
1494352017621280	830.61	614.86	3.97	974.67	709.97	3.88
1494352017637909	832.30	610.46	3.98	979.39	703.60	3.86
1494352017654580	830.95	616.17	3.97	971.63	733.29	3.94
1494352017671265	834.72	608.80	3.95	971.47	721.81	3.93
1494352017687909	833.77	607.08	3.98	971.35	716.10	3.89
1494352017704578	832.60	609.66	3.96	974.36	712.09	3.88
1494352017721262	829.24	611.91	3.98	965.86	727.38	3.96
1494352017737923	829.39	613.03	3.96	968.83	721.23	3.91
1494352017754591	830.28	607.10	3.95	968.81	717.00	3.90
1494352017771260	828.74	604.86	3.95	975.49	724.40	3.92
1494352017787934	825.87	605.99	3.95	978.01	723.37	3.95
1494352017804601	828.20	611.47	3.94	967.89	720.45	3.94
1494352017821263	830.94	605.35	3.95	962.12	738.09	3.99
1494352017837930	829.39	609.74	3.97	969.13	717.93	3.93
1494352017854606	829.98	612.24	3.95	965.29	728.03	3.94
1494352017871273	828.29	613.63	3.96	966.29	717.25	3.91
1494352017887936	823.18	614.43	3.94	969.37	713.58	3.89
1494352017904610	827.98	613.01	3.96	965.73	733.74	3.95
1494352017921278	823.95	615.51	3.89	971.65	721.43	3.96
1494352017937946	829.33	617.21	3.97	971.94	705.53	3.84
1494352017954609	827.88	606.90	3.95	969.66	724.68	3.93
1494352017971279	823.23	612.53	3.97	975.19	726.28	3.97
1494352017987943	826.71	609.00	3.95	972.59	742.43	3.96
1494352018004617	827.58	608.70	3.96	973.67	738.82	3.96
1494352018021327	824.63	604.39	3.95	967.41	735.96	3.98
1494352018037945	828.19	610.19	3.96	976.60	710.21	3.87
1494352018054618	826.63	606.52	3.94	978.63	700.46	3.86
1494352018071297	828.80	608.59	3.96	970.43	708.07	3.89
1494352018087957	834.85	616.98	3.99	968.43	712.13	3.89
1494352018104620	827.59	609.54	3.97	971.41	704.41	3.84
1494352018121295	830.35	614.10	3.95	967.46	711.65	3.87
1494352018137962	825.51	611.65	3.97	967.81	723.41	3.93
1494352018154624	832.82	613.69	3.96	971.28	730.78	3.96
1494352018171300	824.48	601.24	3.96	961.47	745.52	4.00
1494352018187962	823.13	615.52	3.96	970.56	728.25	3.92
1494352018204435	823.66	616.98	3.97	978.14	705.18	3.86
1494352018221159	827.92	607.76	3.95	974.77	705.09	3.86
1494352018237765	831.91	602.95	3.97	980.31	704.15	3.86
1494352018254428	826.37	607.11	3.99	976.15	706.36	3.87
1494352018271085	832.63	612.71	3.97	978.96	698.47	3.83
1494352018287751	833.80	609.04	4.00	965.12	705.33	3.88
1494352018304421	833.54	609.13	3.96	968.16	723.91	3.92
1494352018321087	831.87	611.07	3.95	974.44	718.16	3.91
1494352018337745	825.60	603.19	3.94	970.30	718.38	3.92
1494352018354416	830.92	611.81	3.96	978.90	712.76	3.92
1494352018371080	833.14	605.83	3.96	970.86	737.60	3.98
1494352018387746	821.72	617.61	3.96	974.45	719.39	3.92
1494352018404402	830.10	612.37	3.96	966.13	731.83	3.97
1494352018421169	NaN	NaN	NaN	965.71	733.60	3.94
1494352018437733	829.85	611.08	3.95	965.38	725.21	3.94
1494352018454405	828.81	604.60	3.97	963.32	723.92	3.96
1494352018471068	824.87	604.50	3.91	970.09	720.53	3.92
1494352018487734	828.30	609.75	3.96	965.17	724.01	3.94
1494352018504398	812.70	597.20	3.85	966.14	716.48	3.91
1494352018521062	NaN	NaN	NaN	967.35	737.56	3.96
1494352018537729	832.14	612.12	3.97	973.99	714.07	3.88
1494352018554393	NaN	NaN	NaN	963.99	725.74	3.94
1494352018571057	828.41	613.01	3.98	971.71	725.69	3.92
1494352018587723	827.70	601.00	3.96	962.14	724.17	3.94
1494352018604382	831.58	608.13	3.98	969.63	727.15	3.95
1494352018621158	831.59	611.20	3.97	966.46	734.31	3.98
1494352018637710	829.40	611.58	3.96	971.90	730.91	3.94
1494352018654371	830.98	610.02	3.96	972.88	732.64	3.95
1494352018671035	822.61	615.44	3.94	966.15	731.09	3.95
1494352018687703	826.32	609.36	3.95	975.01	714.07	3.92
1494352018704471	827.69	610.45	3.94	969.76	714.49	3.90
1494352018721138	826.61	615.05	3.93	970.32	713.83	3.89
1494352018737801	834.70	613.95	3.97	976.38	717.96	3.91
1494352018754449	832.40	614.97	3.95	968.48	728.35	3.94
1494352018771127	830.72	611.95	3.96	971.13	729.80	3.95
1494352018787784	827.02	602.28	3.97	968.81	733.05	3.94
1494352018804443	828.12	617.04	3.97	958.59	742.16	3.98
1494352018821250	828.37	607.84	3.98	972.05	731.32	3.96
1494352018837780	827.28	614.41	3.96	966.31	735.18	3.96
1494352018854441	828.81	612.86	3.97	972.83	726.64	3.95
1494352018871107	829.45	605.95	3.95	968.76	737.78	3.97
1494352018887768	820.03	614.76	3.94	967.33	729.99	3.94
