Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1498591440392697	412.03	679.41	3.80	575.07	905.79	3.75
1498591440396054	413.53	679.64	3.81	571.98	904.87	3.75
1498591440399337	413.53	679.88	3.81	572.34	905.12	3.75
1498591440402660	411.28	682.27	3.80	574.42	902.05	3.75
1498591440406024	413.54	681.73	3.81	573.69	903.53	3.75
1498591440409381	418.72	679.55	3.81	573.21	900.77	3.74
1498591440412661	412.09	677.99	3.80	573.95	900.93	3.74
1498591440415989	411.38	682.68	3.80	577.24	907.10	3.75
1498591440419352	417.15	678.45	3.81	573.51	901.23	3.75
1498591440422710	416.31	680.20	3.81	575.75	903.48	3.75
1498591440425971	414.65	681.12	3.81	573.60	903.62	3.75
1498591440429314	413.15	684.57	3.81	577.15	903.67	3.75
1498591440432675	411.97	678.10	3.80	574.90	903.79	3.75
1498591440436032	415.74	681.49	3.81	577.13	900.88	3.75
1498591440439396	419.22	680.06	3.81	574.93	902.06	3.75
1498591440442659	416.07	677.80	3.81	574.58	902.58	3.75
1498591440445999	419.28	680.27	3.81	575.90	903.90	3.75
1498591440449360	416.08	681.37	3.81	577.28	904.10	3.75
1498591440452618	413.12	683.64	3.80	575.05	903.58	3.75
1498591440455966	418.18	679.65	3.81	577.40	902.27	3.75
1498591440459329	412.42	677.60	3.80	577.21	905.91	3.75
1498591440462689	414.47	678.69	3.80	576.13	903.74	3.75
1498591440466048	415.92	679.82	3.81	577.02	902.37	3.75
1498591440469320	412.87	679.52	3.81	575.07	908.60	3.75
1498591440472654	418.25	679.50	3.81	575.92	906.08	3.75
1498591440476014	415.44	680.42	3.81	577.10	901.90	3.75
1498591440479372	419.74	678.57	3.81	574.71	904.86	3.75
1498591440482648	418.59	678.89	3.81	574.01	905.60	3.75
1498591440485977	418.45	678.14	3.81	574.62	905.16	3.75
1498591440489340	412.21	679.81	3.80	575.51	905.16	3.75
1498591440492694	416.23	676.30	3.81	578.06	903.92	3.75
1498591440495944	413.92	679.31	3.81	578.81	905.33	3.75
1498591440499292	414.90	680.91	3.81	579.27	903.57	3.75
1498591440502650	417.32	681.67	3.80	576.69	904.48	3.75
1498591440506021	417.80	674.34	3.80	576.55	903.79	3.75
1498591440509382	421.17	676.54	3.81	575.35	904.41	3.75
1498591440512648	414.66	678.76	3.80	574.25	906.33	3.75
1498591440515992	413.87	678.72	3.80	574.23	904.05	3.75
1498591440519350	416.48	682.76	3.80	577.81	904.77	3.75
1498591440522709	413.24	676.73	3.80	576.41	902.77	3.75
1498591440525973	415.81	677.01	3.81	577.09	903.53	3.75
1498591440529313	414.46	677.89	3.80	575.68	905.78	3.75
1498591440532671	419.37	678.58	3.81	576.45	905.62	3.75
1498591440536035	416.82	679.44	3.80	575.49	904.87	3.75
1498591440539310	411.63	679.02	3.80	576.53	903.24	3.74
1498591440542629	417.47	678.76	3.80	572.73	905.63	3.74
1498591440546000	413.83	678.61	3.80	575.83	906.45	3.75
1498591440549361	418.70	678.08	3.80	576.13	904.68	3.75
1498591440552642	413.35	679.07	3.80	574.21	906.01	3.75
1498591440555964	416.01	680.92	3.80	574.47	906.22	3.75
1498591440559325	419.76	682.14	3.80	576.00	902.24	3.75
1498591440562686	413.86	678.94	3.80	571.86	903.94	3.74
1498591440566048	414.92	678.22	3.81	575.45	902.82	3.74
1498591440569299	411.93	676.35	3.80	575.13	907.53	3.75
1498591440572652	414.85	680.10	3.80	576.96	898.19	3.75
1498591440576014	415.04	679.27	3.81	575.02	903.45	3.75
1498591440579375	417.02	679.93	3.81	576.98	899.96	3.75
1498591440582641	416.20	678.42	3.81	575.34	905.72	3.75
1498591440585987	418.94	678.10	3.81	574.15	900.60	3.75
1498591440589335	418.43	677.59	3.80	578.43	900.53	3.75
1498591440592701	415.92	683.22	3.80	573.14	908.72	3.75
1498591440595969	412.85	678.36	3.81	576.23	904.38	3.75
1498591440599312	418.87	679.22	3.81	577.27	905.48	3.75
1498591440602664	419.52	679.23	3.81	576.01	905.55	3.75
1498591440606015	416.22	679.28	3.80	575.91	900.76	3.75
1498591440609275	415.57	676.66	3.81	574.18	908.69	3.75
1498591440612639	411.66	679.92	3.81	576.27	907.03	3.75
1498591440615990	411.73	678.87	3.80	574.84	902.95	3.75
1498591440619352	416.46	678.33	3.80	573.60	903.31	3.75
1498591440622609	413.35	680.27	3.81	574.34	901.85	3.75
1498591440625973	414.25	679.43	3.80	573.68	903.86	3.75
1498591440629313	412.76	681.92	3.81	574.90	905.62	3.75
1498591440632677	412.76	680.90	3.80	573.23	905.50	3.75
1498591440636034	418.26	680.77	3.80	574.62	899.35	3.75
1498591440639304	412.81	680.48	3.80	575.74	904.60	3.74
1498591440642642	412.53	677.97	3.80	574.01	904.63	3.75
1498591440646005	418.33	680.97	3.81	573.97	905.40	3.75
1498591440649360	415.81	677.55	3.81	577.80	902.66	3.74
1498591440652637	415.45	676.58	3.80	577.62	904.74	3.75
1498591440655968	416.54	680.54	3.80	575.07	907.37	3.75
1498591440659327	413.73	676.37	3.80	575.92	904.00	3.75
1498591440662688	417.14	680.42	3.81	576.38	903.75	3.74
1498591440665942	415.55	682.91	3.81	576.21	901.93	3.74
1498591440669288	413.53	676.16	3.81	575.70	905.63	3.75
1498591440672654	417.56	680.97	3.81	575.50	904.76	3.75
1498591440676015	409.02	679.97	3.80	578.02	902.22	3.75
1498591440679293	415.05	680.95	3.81	575.51	903.49	3.75
1498591440682629	417.97	680.96	3.81	577.15	907.66	3.75
1498591440685980	418.24	678.22	3.81	577.46	902.49	3.75
1498591440689340	416.90	678.45	3.81	574.98	908.81	3.75
1498591440692602	419.10	679.24	3.81	575.57	901.38	3.75
1498591440695947	412.08	680.43	3.80	575.58	899.91	3.75
1498591440699305	411.55	680.30	3.80	577.25	905.35	3.75
1498591440702662	416.80	678.75	3.80	573.52	902.77	3.74
1498591440706016	414.05	678.21	3.80	578.85	904.00	3.75
1498591440709296	415.64	675.82	3.81	577.86	905.74	3.75
1498591440712627	415.78	681.29	3.81	576.90	901.95	3.75
1498591440715992	417.08	676.47	3.80	577.41	904.95	3.75
1498591440719350	410.82	677.09	3.80	579.08	906.39	3.75
1498591440722617	416.28	678.57	3.81	578.68	903.56	3.75
1498591440725959	416.30	678.39	3.81	578.96	901.43	3.76
1498591440729323	417.13	678.44	3.80	578.91	901.77	3.75
1498591440732678	413.39	680.72	3.80	578.76	903.43	3.75
1498591440735947	418.88	678.12	3.81	579.19	901.01	3.75
1498591440739286	415.01	678.88	3.80	577.59	902.67	3.75
1498591440742643	412.55	680.39	3.80	576.80	904.81	3.75
1498591440746008	418.23	682.33	3.80	578.41	908.33	3.75
1498591440749361	420.24	680.22	3.81	578.70	904.76	3.76
1498591440752610	415.13	679.32	3.82	576.19	904.23	3.75
1498591440755971	413.78	682.15	3.80	579.23	904.68	3.75
1498591440759326	416.64	679.63	3.81	576.19	904.99	3.75
1498591440762587	414.81	679.90	3.80	576.49	902.98	3.75
1498591440765962	417.20	678.65	3.81	577.12	906.20	3.75
1498591440769293	413.10	680.90	3.81	579.07	902.37	3.75
1498591440772653	415.71	676.60	3.80	577.78	902.61	3.75
1498591440776016	417.72	680.69	3.80	581.24	907.37	3.76
1498591440779286	416.14	680.24	3.81	575.63	902.00	3.75
1498591440782629	418.81	679.96	3.81	574.69	902.79	3.75
1498591440785978	411.79	680.72	3.80	574.67	908.50	3.75
1498591440789344	416.31	678.91	3.80	573.72	902.85	3.75
1498591440792618	412.26	678.43	3.80	574.00	904.38	3.74
1498591440795944	413.83	678.70	3.80	575.11	901.47	3.75
1498591440799306	418.45	680.38	3.80	573.17	904.09	3.75
1498591440802665	413.33	681.12	3.81	574.12	902.47	3.75
1498591440805928	418.49	680.27	3.82	576.37	903.47	3.75
1498591440809274	415.41	678.76	3.81	574.71	905.20	3.75
1498591440812631	415.68	678.66	3.80	574.37	905.62	3.75
1498591440815992	414.96	683.99	3.81	573.35	904.73	3.75
1498591440819350	421.84	676.60	3.81	577.14	903.51	3.75
1498591440822592	413.32	679.25	3.80	577.06	904.39	3.75
1498591440825959	415.56	681.78	3.81	575.16	904.08	3.75
1498591440829320	412.54	679.84	3.81	576.57	905.20	3.75
1498591440832682	415.75	679.46	3.81	575.72	902.97	3.75
1498591440835946	414.60	679.66	3.80	575.15	902.43	3.75
1498591440839281	416.51	680.44	3.80	574.25	903.97	3.75
1498591440842641	416.53	679.68	3.81	575.46	902.50	3.74
1498591440846005	413.75	675.69	3.80	575.71	901.95	3.75
1498591440849272	414.49	680.22	3.81	574.31	901.97	3.75
1498591440852607	412.23	679.50	3.80	576.97	903.55	3.75
1498591440855970	417.49	676.30	3.80	577.57	903.14	3.75
1498591440859327	410.15	679.41	3.80	573.10	903.98	3.75
1498591440862593	414.12	677.18	3.80	577.95	904.63	3.75
1498591440865936	412.47	681.58	3.80	579.44	901.90	3.74
1498591440869294	413.19	678.65	3.80	575.10	898.66	3.75
1498591440872654	415.85	677.61	3.81	578.20	904.19	3.75
1498591440875931	417.70	677.87	3.81	573.06	899.86	3.75
1498591440879258	411.55	679.84	3.81	574.59	907.29	3.75
1498591440882621	418.52	677.64	3.81	572.63	904.07	3.75
1498591440885978	414.82	680.37	3.81	572.81	902.94	3.75
1498591440889339	410.70	685.50	3.80	571.22	905.62	3.75
1498591440892615	410.89	680.16	3.80	574.49	902.20	3.75
