Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Diam [px]	R Diam [px]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z
1676567045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1676583715	1008.5095	204.3049	NaN	NaN	3.6883	NaN	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1676588075	1061.2393	314.9573	NaN	NaN	3.8870	NaN	-26.1721	11.7725	705.1638	NaN	NaN	NaN	0.0850	0.2901	-0.9532	NaN	NaN	NaN
1676604745	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1676621416	1016.8446	597.3896	NaN	NaN	3.4462	NaN	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1676625534	1071.2087	335.8937	NaN	NaN	4.0276	NaN	-25.4440	11.8806	705.3155	NaN	NaN	NaN	0.0879	0.2818	-0.9554	NaN	NaN	NaN
1676642173	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1676658808	1016.1956	243.5769	NaN	NaN	3.5997	NaN	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1676662566	1061.9152	298.9266	NaN	NaN	3.9923	NaN	-24.7137	11.9369	705.3055	NaN	NaN	NaN	0.0832	0.2960	-0.9516	NaN	NaN	NaN
1676679224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1676695891	1070.6018	263.3475	961.9634	311.0767	3.5433	3.3219	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	NaN	NaN
1676699768	1055.5261	262.8344	993.0236	438.2317	3.9873	3.4716	-24.0811	11.9856	705.6656	42.3303	10.7568	706.8239	0.0797	0.3097	-0.9475	-0.0432	0.2443	-0.9687
1676716435	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1676733102	1015.1176	329.9873	1031.3969	370.2824	3.8628	3.5040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	NaN	NaN
1676737464	1007.6910	235.3211	1015.5073	411.0160	3.8598	3.5475	-23.5556	12.0614	705.6462	42.8650	10.6099	706.9316	0.0598	0.3205	-0.9454	-0.0351	0.2550	-0.9663
1676755783	1014.1774	292.1812	941.2561	329.6663	3.8735	3.3828	-23.3418	12.1062	705.5302	43.0573	10.5317	706.8661	0.0621	0.2987	-0.9523	-0.0651	0.2859	-0.9560
1676772438	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
