Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Diam [px]	R Diam [px]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z
4111819062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111835730	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111852399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111869056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111885686	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111902352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111919019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111935685	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111952352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111969017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111985682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4111992325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4112010273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4112026939	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4112043606	964.2150	511.9109	932.0356	596.5494	4.4634	3.6917	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	NaN	NaN
4112047410	1088.9528	264.8473	1031.4124	496.2445	4.0096	3.6461	-23.4966	38.6794	665.9410	41.2305	32.7279	663.5994	0.0988	0.2887	-0.9523	-0.0282	0.2039	-0.9786
4112064075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4112080739	979.9374	560.7491	868.5740	448.7170	4.5206	3.6475	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	NaN	NaN
4112084981	NaN	NaN	988.9147	545.4074	NaN	3.6491	NaN	NaN	NaN	41.1612	32.7556	663.6106	NaN	NaN	NaN	-0.0461	0.1834	-0.9820
4112101645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4112118311	957.4116	540.1702	998.1623	543.4413	4.3852	3.7436	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	NaN	NaN
4112121458	967.1262	530.9341	1003.0731	537.1926	4.6497	3.7321	-23.5761	38.4804	665.5395	41.1013	32.6435	663.6289	0.0462	0.1801	-0.9826	-0.0400	0.1870	-0.9815
4112139489	964.6725	540.3201	990.1053	498.2709	4.5790	3.6362	-23.6379	38.4498	665.6288	41.0881	32.5865	663.7075	0.0452	0.1763	-0.9833	-0.0456	0.2031	-0.9781
4112157828	974.5908	536.7086	1000.9441	527.5484	4.5121	3.6124	-23.6929	38.4418	665.4854	41.0445	32.6258	663.7095	0.0495	0.1778	-0.9828	-0.0408	0.1910	-0.9807
4112176083	982.4869	556.9142	986.4594	530.2067	4.3755	3.5764	-23.7418	38.4706	665.4379	41.0168	32.6761	663.7119	0.0529	0.1694	-0.9841	-0.0469	0.1898	-0.9807
4112194137	933.1625	544.5994	1008.5120	513.9973	4.2818	3.7486	-23.8066	38.5196	665.4359	40.9443	32.7113	663.4221	0.0321	0.1746	-0.9841	-0.0375	0.1966	-0.9798
4112210743	962.4380	581.7318	992.4932	550.1747	4.4287	3.6225	-23.8543	38.5480	665.2775	40.8998	32.7689	663.4624	0.0445	0.1592	-0.9862	-0.0441	0.1815	-0.9824
4112227407	912.3563	515.1065	983.8843	538.1246	4.4888	3.5439	-23.8971	38.5667	665.2759	40.8658	32.8291	663.4620	0.0234	0.1868	-0.9821	-0.0478	0.1863	-0.9813
4112244068	1007.3630	534.4038	972.0052	531.5836	4.3761	3.5284	-23.9909	38.5927	665.1378	40.7745	32.8465	663.1486	0.0639	0.1785	-0.9819	-0.0527	0.1890	-0.9806
4112260719	978.1124	578.9396	979.9061	536.4586	4.2334	3.5392	-24.0754	38.5869	664.9974	40.6656	32.8777	663.0937	0.0515	0.1603	-0.9857	-0.0492	0.1870	-0.9811
4112277390	977.2811	530.6561	977.6780	548.2510	4.4227	3.4921	-24.2127	38.5760	664.9269	40.5787	32.8993	663.1035	0.0515	0.1802	-0.9823	-0.0500	0.1821	-0.9820
4112294043	970.6982	583.2372	987.1675	539.8062	4.1896	3.6297	-24.3221	38.5681	664.6754	40.4282	32.9308	662.8229	0.0487	0.1586	-0.9861	-0.0457	0.1857	-0.9815
4112310700	976.0833	554.7239	984.6065	480.7468	4.3723	3.6058	-24.4384	38.5846	664.5499	40.3169	32.9715	662.5458	0.0513	0.1704	-0.9840	-0.0468	0.2101	-0.9765
4112327370	968.1925	581.0705	981.9563	545.7823	4.1860	3.5186	-24.5351	38.6362	664.5671	40.2367	33.0436	662.6140	0.0480	0.1595	-0.9860	-0.0476	0.1831	-0.9819
